Id,Label,In-Degree,Out-Degree,Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
25,S25,2,1,3,4.0,2.557894736842105,3.348830336330337,7,3.0,2.0,1.0,0.0018656716,0.0018656716,0.0031516657149925,0,0.0,0,0.027317527072915695
26,S26,2,17,19,3.0,1.9578947368421054,15.288155274770627,4,19.0,2.0,17.0,0.009328358,0.009328358,0.009137552058363098,0,0.4444444444444444,76,0.3587004275347791
2,S2,1,23,24,3.0,1.8526315789473684,6.411994590169198,0,24.0,1.0,23.0,0.011660447,0.011660447,0.01071086799359795,0,0.7717391304347826,213,0.5606256960305995
3,S3,1,37,38,3.0,1.6736842105263159,92.28732453507176,0,38.0,1.0,37.0,0.018190298,0.018190298,0.016958662840744192,0,0.4623044096728307,325,0.7330073134027332
6,S6,1,7,8,3.0,2.0842105263157893,18.30546355208032,0,8.0,1.0,7.0,0.0041977614,0.0041977614,0.005250703020434913,0,0.5357142857142857,15,0.16401388564502037
21,S21,1,4,5,3.0,2.1894736842105265,0.45553242967036073,3,5.0,1.0,4.0,0.0027985075,0.0027985075,0.0034778318697993617,0,0.5,5,0.11760135862493548
24,S24,1,21,22,3.0,1.8736842105263158,127.16329754210618,4,22.0,1.0,21.0,0.010727612,0.010727612,0.011909718436635195,0,0.41125541125541126,95,0.39359015399476915
62,S62,1,0,1,4.0,2.7473684210526317,0.0,0,1.0,1.0,0.0,9.328358E-4,9.328358E-4,0.001980902451240678,0,0.0,0,0.020672625955010758
65,S65,1,0,1,4.0,2.863157894736842,0.0,4,1.0,1.0,0.0,9.328358E-4,9.328358E-4,0.0020129752603600874,0,0.0,0,0.012954599484381735
66,S66,1,4,5,4.0,2.210526315789474,0.8672792600334056,5,5.0,1.0,4.0,0.0027985075,0.0027985075,0.0035782323361209702,0,0.3,3,0.09252815699036032
75,S75,1,0,1,4.0,2.831578947368421,0.0,7,1.0,1.0,0.0,9.328358E-4,9.328358E-4,0.0021676751488255096,0,0.0,0,0.00966001564887824
95,S95,1,1,2,4.0,2.4526315789473685,0.8952380952380952,7,2.0,1.0,1.0,0.0013992537,0.0013992537,0.0025831948139393595,0,0.0,0,0.032063302600277475
96,S96,1,0,1,4.0,2.831578947368421,0.0,7,1.0,1.0,0.0,9.328358E-4,9.328358E-4,0.0021676751488255096,0,0.0,0,0.00966001564887824
1,S1,0,30,30,3.0,1.7789473684210526,28.292477920093855,0,30.0,0.0,30.0,0.014458955,0.014458955,0.013278680706860628,0,0.6183908045977011,269,0.6552498208574393
4,S4,0,11,11,3.0,2.0631578947368423,4.271654229467474,5,11.0,0.0,11.0,0.005597015,0.005597015,0.006011889008974248,0,0.4909090909090909,27,0.1830555734266916
7,S7,0,6,6,4.0,2.2,1.3353378066519213,3,6.0,0.0,6.0,0.0032649254,0.0032649254,0.004078507801831096,0,0.6,9,0.11610340250447704
8,S8,0,1,1,4.0,2.8,0.0,5,1.0,0.0,1.0,9.328358E-4,9.328358E-4,0.0019919646247743028,0,0.0,0,0.015166476536574327
10,S10,0,2,2,4.0,2.4947368421052634,0.0,4,2.0,0.0,2.0,0.0013992537,0.0013992537,0.0023851250953524027,0,1.0,1,0.03837419021401251
11,S11,0,4,4,3.0,2.4105263157894736,0.44354380222241363,4,4.0,0.0,4.0,0.0023320895,0.0023320895,0.003247344533048575,0,0.5,3,0.06061462029458259
14,S14,0,9,9,3.0,2.0842105263157893,3.2383360251229436,5,9.0,0.0,9.0,0.004664179,0.004664179,0.005281648160660522,0,0.6388888888888888,23,0.1727747012206236
15,S15,0,3,3,4.0,2.4842105263157896,0.0,5,3.0,0.0,3.0,0.0018656716,0.0018656716,0.002805775321069346,0,1.0,3,0.04958641997298677
16,S16,0,1,1,4.0,2.831578947368421,0.0,7,1.0,0.0,1.0,9.328358E-4,9.328358E-4,0.0021676751488255096,0,0.0,0,0.00966001564887824
31,S31,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0015527949963482454,1,0.0,0,0.0
53,S53,0,0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0015527949963482454,2,0.0,0,0.0
58,S58,0,7,7,4.0,2.1473684210526316,3.1732500465082523,5,7.0,0.0,7.0,0.0037313432,0.0037313432,0.0044667026811636085,0,0.23809523809523808,5,0.11781929683564449
68,S68,0,1,1,4.0,2.957894736842105,0.0,3,1.0,0.0,1.0,9.328358E-4,9.328358E-4,0.0020506793985650895,0,0.0,0,0.010503144079586108
92,S92,0,0,0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0015527949963482454,3,0.0,0,0.0
97,S97,0,1,1,4.0,2.6526315789473682,0.0,0,1.0,0.0,1.0,9.328358E-4,9.328358E-4,0.0019683146614620953,0,0.0,0,0.02240328695139922
100,S100,0,0,0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0015527949963482454,4,0.0,0,0.0
