Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
135,taraha,4.0,2.3125,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,150,0.002226520832392929,10,0.0,0,0.01642442100908536
136,yoga,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,66,6.16349845874057E-4,72,0.0,0,0.0
137,tatva,11.0,5.245283018867925,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,87,0.0019390096314386336,2,0.0,0,0.009408279195548005
138,anubhava,1.0,1.0,0.0,0,1,1,1.0,0.0,1.0,0.0030487804,0.0030487804,67,0.004281137147257648,73,0.0,0,0.002173954419619484
139,prakRRiti,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,68,6.16349845874057E-4,74,0.0,0,0.0
140,paristhitiyAM,4.0,2.0,0.3529411764705882,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,47,0.0025993473299006447,0,0.3333333333333333,1,0.33545418818764644
141,nyAyAlaya,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,69,6.16349845874057E-4,75,0.0,0,0.0
142,avarodha,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,70,6.16349845874057E-4,76,0.0,0,0.0
143,ijAjata,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,71,6.16349845874057E-4,77,0.0,0,0.0
144,mAtrA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,72,6.16349845874057E-4,78,0.0,0,0.0
145,peMgvina,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,73,6.16349845874057E-4,79,0.0,0,0.0
146,asthiratA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,74,6.16349845874057E-4,80,0.0,0,0.0
147,virAsata,10.0,4.509433962264151,0.0,2,0,2,2.0,2.0,0.0,0.0045731706,0.0045731706,79,0.0031655239238551664,2,1.0,1,0.015393238284869949
148,kalA,11.0,5.0754716981132075,54.0,0,6,6,6.0,0.0,6.0,0.010670732,0.010670732,80,0.005361111286383797,2,0.26666666666666666,4,0.08237152258352669
149,mAnava,4.0,2.3125,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,150,0.002226520832392929,10,0.0,0,0.01642442100908536
150,nRRitya,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,75,6.16349845874057E-4,81,0.0,0,0.0
151,besina,8.0,3.4716981132075473,56.50000000000003,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,79,0.0034540024659410005,2,0.0,0,0.05988432107004777
152,khAnAbadosha,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,76,6.16349845874057E-4,82,0.0,0,0.0
153,registAna,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,77,6.16349845874057E-4,83,0.0,0,0.0
154,pravesha,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
155,disaMbara,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,78,6.16349845874057E-4,84,0.0,0,0.0
156,bAra,2.0,1.2857142857142858,0.6000000000000001,5,0,5,5.0,5.0,0.0,0.009146341,0.009146341,135,0.003109814264155658,20,0.7,7,0.13484700201373323
157,madhya,11.0,5.132075471698113,0.4,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,80,0.0025890026122377878,2,0.6666666666666666,2,0.06648913169455459
158,prashAsana,10.0,4.490566037735849,5.5,0,2,2,2.0,0.0,2.0,0.0045731706,0.0045731706,79,0.0030698142993817396,2,0.0,0,0.01608458998199349
159,rAste,10.0,4.415094339622642,1.5,2,0,2,2.0,2.0,0.0,0.0045731706,0.0045731706,79,0.002392149146690103,2,0.0,0,0.039211719063314346
160,vanaspati,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,81,6.16349845874057E-4,85,0.0,0,0.0
161,svAgata,1.0,1.0,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,82,0.004281137147257648,86,0.0,0,0.002173954419619484
162,nashe,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,83,6.16349845874057E-4,87,0.0,0,0.0
163,anukaraNa,3.0,1.9736842105263157,37.0,1,1,2,2.0,1.0,1.0,0.0045731706,0.0045731706,45,0.0030787785655008153,6,0.0,0,0.09798855650629551
164,pArka,8.0,3.4716981132075473,56.50000000000003,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,79,0.0034540024659410005,2,0.0,0,0.05988432107004777
165,nivesha,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
166,janasaMkhyA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,84,6.16349845874057E-4,88,0.0,0,0.0
167,halacala,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,85,6.16349845874057E-4,89,0.0,0,0.0
168,nIle,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,86,6.16349845874057E-4,90,0.0,0,0.0
