Id,Label,Source,Target,Weight,In-Degree,Out-Degree,Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient
146,suMdaratA,,,,3,0,3,10.0,4.138888888888889,10.125,7,3.0,3.0,0.0,0.00681431,0.00681431,0.0027180730871819215,0,0.6666666666666666
147,dIvAroM,,,,0,0,0,0.0,0.0,0.0,96,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,101,0.0
148,TUra,,,,1,0,1,2.0,1.5,0.0,187,1.0,1.0,0.0,0.003407155,0.003407155,0.003518341738475675,102,0.0
149,shaiva,,,,0,0,0,0.0,0.0,0.0,97,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,103,0.0
150,anusaMdhAna,,,,0,1,1,1.0,1.0,0.0,98,1.0,0.0,1.0,0.003407155,0.003407155,0.004565789940223913,16,0.0
151,rIsasa,,,,0,0,0,0.0,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,104,0.0
152,jodhapura,,,,0,0,0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,105,0.0
153,nirmANa,,,,0,0,0,0.0,0.0,0.0,101,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,106,0.0
154,cIte,,,,0,0,0,0.0,0.0,0.0,102,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,107,0.0
155,namUnA,,,,2,0,2,12.0,5.625,71.0,7,2.0,2.0,0.0,0.0051107327,0.0051107327,0.0030677819186533807,0,0.0
156,khoja,,,,0,0,0,0.0,0.0,0.0,103,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,108,0.0
157,jIva,,,,0,2,2,3.0,2.0,0.5,47,2.0,0.0,2.0,0.0051107327,0.0051107327,0.004479687294605388,48,0.0
158,jAtiyoM,,,,0,0,0,0.0,0.0,0.0,104,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,109,0.0
159,AcaraNa,,,,0,0,0,0.0,0.0,0.0,105,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,110,0.0
160,marusthala,,,,2,0,2,8.0,3.861111111111111,71.0,185,3.0,3.0,0.0,0.0051107327,0.0051107327,0.0031694671592391237,0,0.0
161,pUrNimA,,,,0,0,0,0.0,0.0,0.0,106,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,111,0.0
162,sthala,,,,0,14,14,8.0,2.8055555555555554,244.00000000000003,128,14.0,0.0,14.0,0.025553662,0.025553662,0.010828874430900894,0,0.0
163,shItaRRitu,,,,0,0,0,0.0,0.0,0.0,107,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,112,0.0
164,darshana,,,,0,1,1,1.0,1.0,0.0,201,1.0,0.0,1.0,0.003407155,0.003407155,0.0014072312287092643,113,0.0
165,kinnaura,,,,0,0,0,0.0,0.0,0.0,108,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,114,0.0
166,shAsana,,,,0,0,0,0.0,0.0,0.0,109,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,115,0.0
167,saMrakShaNa,,,,0,0,0,0.0,0.0,0.0,110,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,116,0.0
168,mora,,,,1,0,1,2.0,1.6666666666666667,0.0,48,1.0,1.0,0.0,0.003407155,0.003407155,0.0031691923378929284,26,0.0
169,vAtAvaraNa,,,,1,0,1,1.0,1.0,0.0,207,1.0,1.0,0.0,0.003407155,0.003407155,0.004565789940223913,117,0.0
170,udyAnoM,,,,4,0,4,8.0,3.6944444444444446,9.333333333333332,185,4.0,4.0,0.0,0.008517887,0.008517887,0.0040090034160119034,0,0.5
171,patA,,,,0,0,0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,118,0.0
172,stUpoM,,,,0,0,0,0.0,0.0,0.0,112,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,119,0.0
173,guru,,,,0,0,0,0.0,0.0,0.0,113,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,120,0.0
174,TAigara,,,,0,0,0,0.0,0.0,0.0,114,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,121,0.0
175,saMskRRiti,,,,0,0,0,0.0,0.0,0.0,115,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,122,0.0
176,maMdiroM,,,,2,0,2,9.0,3.75,23.000000000000046,183,2.0,2.0,0.0,0.0051107327,0.0051107327,0.002698130577877068,0,0.0
177,foTo,,,,0,0,0,0.0,0.0,0.0,116,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,123,0.0
178,kShetra,,,,0,6,6,8.0,3.7222222222222223,37.5,185,6.0,0.0,6.0,0.011925043,0.011925043,0.006209093063608311,0,0.26666666666666666
179,saralatA,,,,3,0,3,10.0,4.138888888888889,10.125,7,3.0,3.0,0.0,0.00681431,0.00681431,0.0027180730871819215,0,0.6666666666666666
180,sUcI,,,,0,0,0,0.0,0.0,0.0,117,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,124,0.0
181,videshI,,,,0,0,0,0.0,0.0,0.0,118,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,125,0.0
182,vibhAga,,,,0,2,2,9.0,4.375,165.0,185,2.0,0.0,2.0,0.0051107327,0.0051107327,0.003035934554328849,0,0.0
183,utsavoM,,,,1,0,1,3.0,2.0,0.0,215,1.0,1.0,0.0,0.003407155,0.003407155,0.0031987111166652885,126,0.0
184,dilacaspI,,,,0,0,0,0.0,0.0,0.0,119,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,127,0.0
185,Arambha,,,,0,0,0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,128,0.0
186,saMgrahAlaya,,,,4,0,4,8.0,3.513888888888889,0.42857142857142855,128,4.0,4.0,0.0,0.008517887,0.008517887,0.003312426970468428,0,0.0
187,U.ncAI,,,,0,0,0,0.0,0.0,0.0,121,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,129,0.0
188,kAMga.DA,,,,0,0,0,0.0,0.0,0.0,122,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,130,0.0
