Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Modularity Class,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
263,mazadUra,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,138,0.0,0.0,5.781744264857095E-4,137,0.0,0,0.0
264,sthalAkRRiti,14.0,8.961904761904762,0.0,1,0,1,1.0,1.0,0.0,15,0.0030395137,0.0030395137,0.0022533289176739453,4,0.0,0,0.008022962227669876
265,aMta,13.0,7.704761904761905,5.058823529411759,2,0,2,2.0,2.0,0.0,79,0.0045592706,0.0045592706,0.002380878554866499,4,0.0,0,0.18914258535542486
266,gha.DiyAla,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,139,0.0,0.0,5.781744264857095E-4,138,0.0,0,0.0
267,samRRiddhi,13.0,7.704761904761905,5.058823529411759,2,0,2,2.0,2.0,0.0,79,0.0045592706,0.0045592706,0.002380878554866499,4,0.0,0,0.18914258535542486
268,bAta,1.0,1.0,28.0,0,8,8,8.0,0.0,8.0,140,0.013677811,0.013677811,0.016976043824847867,25,0.0,0,0.04354163856685109
269,virodhiyoM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,141,0.0,0.0,5.781744264857095E-4,139,0.0,0,0.0
270,inakAra,13.0,6.466666666666667,0.0,1,0,1,1.0,1.0,0.0,77,0.0030395137,0.0030395137,0.0020926518289273934,4,0.0,0,0.16192817742649443
271,dala,2.0,1.2941176470588236,57.5,2,12,14,14.0,2.0,12.0,142,0.021276595,0.021276595,0.014612175546490722,1,0.11538461538461539,9,0.3376901170474807
272,dakShiNa,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,143,0.0,0.0,5.781744264857095E-4,140,0.0,0,0.0
273,purAtatva,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,144,0.0,0.0,5.781744264857095E-4,141,0.0,0,0.0
274,sonA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,145,0.0,0.0,5.781744264857095E-4,142,0.0,0,0.0
275,cunautI,2.0,1.875,0.0,1,0,1,1.0,1.0,0.0,140,0.0030395137,0.0030395137,0.0023804634586037715,25,0.0,0,0.014819236361676246
276,senAeM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,146,0.0,0.0,5.781744264857095E-4,143,0.0,0,0.0
277,dashaka,3.0,2.176470588235294,0.0,1,0,1,1.0,1.0,0.0,142,0.0030395137,0.0030395137,0.0015745266950051894,1,0.0,0,0.05456962636202509
278,briTena,3.0,2.0,0.0,2,0,2,2.0,2.0,0.0,142,0.0045592706,0.0045592706,0.0024674749212007085,1,1.0,1,0.11648773946960812
279,briTisha,3.0,2.0,0.0,1,0,1,1.0,1.0,0.0,42,0.0030395137,0.0030395137,0.00230845249172098,5,0.0,0,0.019856016155622307
280,khaira,13.0,7.704761904761905,5.058823529411759,2,0,2,2.0,2.0,0.0,79,0.0045592706,0.0045592706,0.002380878554866499,4,0.0,0,0.18914258535542486
281,khaira,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,147,0.0,0.0,5.781744264857095E-4,144,0.0,0,0.0
282,hAra,2.0,1.875,0.0,1,0,1,1.0,1.0,0.0,140,0.0030395137,0.0030395137,0.0023804634586037715,25,0.0,0,0.014819236361676246
283,prashAMta,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,148,0.0,0.0,5.781744264857095E-4,145,0.0,0,0.0
